"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","256","returns HTTP 400 for empty update body","","Tue Apr 07 07:12:14 UTC 2026","passed","Tue Apr 07 07:12:14 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"","5","test_product_fields_in_listing","tests","Tue Apr 07 07:12:22 UTC 2026","passed","Tue Apr 07 07:12:22 UTC 2026","TestListProducts","products_test","",""
"","251","response body conforms to product schema","","Tue Apr 07 07:12:11 UTC 2026","passed","Tue Apr 07 07:12:11 UTC 2026","Product Endpoints > GET /api/products/:id","products_test.spec.ts","",""
"Verify create order fails without authentication","10","testCreateOrderNoAuth","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderNoAuth"
"","325","returns only the authenticated users own orders","","Tue Apr 07 07:12:04 UTC 2026","passed","Tue Apr 07 07:12:04 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"Verify health endpoint returns uptime information","65","testHealthEndpointUptime","API Test Suite","Tue Apr 07 07:12:14 UTC 2026","passed","Tue Apr 07 07:12:14 UTC 2026","com.automationlab.tests.HealthTest","API Tests","com.automationlab.tests.HealthTest","testHealthEndpointUptime"
"","819","Sign-out redirects to login page","chromium","Tue Apr 07 07:12:27 UTC 2026","passed","Tue Apr 07 07:12:28 UTC 2026","Dashboard — Authenticated Admin","dashboard_test.spec.ts","",""
"","67","test_register_does_not_return_password","tests","Tue Apr 07 07:12:17 UTC 2026","passed","Tue Apr 07 07:12:17 UTC 2026","TestRegistration","auth_test","",""
"","915","Admin can view products page","chromium","Tue Apr 07 07:13:20 UTC 2026","passed","Tue Apr 07 07:13:21 UTC 2026","Products — Authenticated Admin","products_test.spec.ts","",""
"","74","returns HTTP 401 without token","","Tue Apr 07 07:12:18 UTC 2026","passed","Tue Apr 07 07:12:18 UTC 2026","User Endpoints > GET /api/users/:id","user_test.spec.ts","",""
"","1","setup","","Tue Apr 07 07:13:30 UTC 2026","passed","Tue Apr 07 07:13:30 UTC 2026","","k6 Performance Tests","",""
"All returned products should be active.","5","test_list_products_only_returns_active","tests","Tue Apr 07 07:12:22 UTC 2026","passed","Tue Apr 07 07:12:22 UTC 2026","TestListProducts","products_test","",""
