"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify orders can be filtered by status","61","testListOrdersByStatus","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersByStatus"
"","4","test_admin_can_create_product","tests","Thu Mar 05 05:37:09 UTC 2026","passed","Thu Mar 05 05:37:09 UTC 2026","TestCreateProduct","products_test","",""
"Verify users list does not include passwords","47","testListUsersDoesNotReturnPasswords","API Test Suite","Thu Mar 05 05:37:23 UTC 2026","passed","Thu Mar 05 05:37:23 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testListUsersDoesNotReturnPasswords"
"Verify create product fails with negative stock","14","testCreateProductNegativeStock","API Test Suite","Thu Mar 05 05:37:25 UTC 2026","passed","Thu Mar 05 05:37:25 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testCreateProductNegativeStock"
"","315","returns HTTP 400 for empty update body","","Thu Mar 05 05:36:53 UTC 2026","passed","Thu Mar 05 05:36:53 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"Verify login fails with missing password","27","testLoginMissingPassword","API Test Suite","Thu Mar 05 05:37:20 UTC 2026","passed","Thu Mar 05 05:37:20 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testLoginMissingPassword"
"","5","returns HTTP 401 without token","","Thu Mar 05 05:36:56 UTC 2026","passed","Thu Mar 05 05:36:56 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","10","response contains products array and pagination object","","Thu Mar 05 05:36:49 UTC 2026","passed","Thu Mar 05 05:36:49 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"Verify update product updates the updated_at timestamp","1049","testUpdateProductUpdatesTimestamp","API Test Suite","Thu Mar 05 05:37:26 UTC 2026","passed","Thu Mar 05 05:37:27 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testUpdateProductUpdatesTimestamp"
"","5","test_list_orders_pagination","tests","Thu Mar 05 05:37:07 UTC 2026","passed","Thu Mar 05 05:37:07 UTC 2026","TestListOrders","orders_test","",""
"","73","returns HTTP 200 with valid token","","Thu Mar 05 05:36:40 UTC 2026","passed","Thu Mar 05 05:36:40 UTC 2026","Authentication Endpoints > POST /api/auth/logout","auth_test.spec.ts","",""
"Verify orders list supports pagination","52","testListOrdersPagination","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersPagination"
"Verify create order fails without authentication","11","testCreateOrderNoAuth","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderNoAuth"
"Create two products and order both.","16","test_create_order_with_multiple_items","tests","Thu Mar 05 05:37:06 UTC 2026","passed","Thu Mar 05 05:37:06 UTC 2026","TestCreateOrder","orders_test","",""
"Regular users should not be able to view other users' profiles.","3","test_user_cannot_view_other_user","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestGetUser","user_test","",""
"","4","test_delete_nonexistent_user_returns_404","tests","Thu Mar 05 05:37:11 UTC 2026","passed","Thu Mar 05 05:37:11 UTC 2026","TestDeleteUser","user_test","",""
"","39312","GET /api/users/:id - own user","","Thu Mar 05 05:38:19 UTC 2026","passed","Thu Mar 05 05:38:58 UTC 2026","","k6 Performance Tests","",""
"","7","test_update_own_email","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestUpdateUser","user_test","",""
"","316","returns HTTP 403 for non-admin authenticated user","","Thu Mar 05 05:36:54 UTC 2026","passed","Thu Mar 05 05:36:54 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"Verify create order fails with non-existent product","14","testCreateOrderNonExistentProduct","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderNonExistentProduct"
"","322","returns HTTP 401 without token","","Thu Mar 05 05:36:47 UTC 2026","passed","Thu Mar 05 05:36:47 UTC 2026","Order Endpoints > PATCH /api/orders/:id/status","orders_test.spec.ts","",""
"Verify create order fails with negative quantity","12","testCreateOrderNegativeQuantity","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderNegativeQuantity"
"Order quantity exceeding available stock should fail.","9","test_create_order_exceeding_stock_returns_400","tests","Thu Mar 05 05:37:07 UTC 2026","passed","Thu Mar 05 05:37:07 UTC 2026","TestCreateOrder","orders_test","",""
"Verify registration fails with weak password","17","testRegistrationWeakPassword","API Test Suite","Thu Mar 05 05:37:21 UTC 2026","passed","Thu Mar 05 05:37:21 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationWeakPassword"
"","10","test_order_items_include_product_details","tests","Thu Mar 05 05:37:07 UTC 2026","passed","Thu Mar 05 05:37:07 UTC 2026","TestGetOrder","orders_test","",""
"Verify products can be searched by name","26","testSearchProducts","API Test Suite","Thu Mar 05 05:37:26 UTC 2026","passed","Thu Mar 05 05:37:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testSearchProducts"
"Verify admin can update stock quantity","24","testUpdateProductStock","API Test Suite","Thu Mar 05 05:37:26 UTC 2026","passed","Thu Mar 05 05:37:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testUpdateProductStock"
"","134","response body conforms to auth response schema","","Thu Mar 05 05:36:39 UTC 2026","passed","Thu Mar 05 05:36:39 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"","39310","DELETE /api/users/:id","","Thu Mar 05 05:38:20 UTC 2026","passed","Thu Mar 05 05:39:00 UTC 2026","","k6 Performance Tests","",""
"","3","test_health_returns_200","tests","Thu Mar 05 05:37:05 UTC 2026","passed","Thu Mar 05 05:37:05 UTC 2026","TestHealthEndpoint","health_test","",""
"","37989","Step 1: Register new user","","Thu Mar 05 05:40:24 UTC 2026","passed","Thu Mar 05 05:41:02 UTC 2026","","k6 Performance Tests","",""
"Verify health endpoint returns uptime information","68","testHealthEndpointUptime","API Test Suite","Thu Mar 05 05:37:18 UTC 2026","passed","Thu Mar 05 05:37:19 UTC 2026","com.automationlab.tests.HealthTest","API Tests","com.automationlab.tests.HealthTest","testHealthEndpointUptime"
"Verify pagination with custom page size","51","testListUsersCustomPageSize","API Test Suite","Thu Mar 05 05:37:23 UTC 2026","passed","Thu Mar 05 05:37:23 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testListUsersCustomPageSize"
"","5","returns HTTP 401 without token","","Thu Mar 05 05:36:44 UTC 2026","passed","Thu Mar 05 05:36:44 UTC 2026","Order Endpoints > GET /api/orders/:id","orders_test.spec.ts","",""
"","4","test_admin_can_view_any_user","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestGetUser","user_test","",""
"Verify product response includes timestamps","32","testGetProductIncludesTimestamps","API Test Suite","Thu Mar 05 05:37:25 UTC 2026","passed","Thu Mar 05 05:37:25 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testGetProductIncludesTimestamps"
"","4","test_delete_nonexistent_product_returns_404","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestDeleteProduct","products_test","",""
"Verify authenticated user can logout","23","testLogout","API Test Suite","Thu Mar 05 05:37:20 UTC 2026","passed","Thu Mar 05 05:37:20 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testLogout"
"","39310","PUT /api/users/:id","","Thu Mar 05 05:38:20 UTC 2026","passed","Thu Mar 05 05:38:59 UTC 2026","","k6 Performance Tests","",""
"","73","password field is not included in user response object","","Thu Mar 05 05:36:38 UTC 2026","passed","Thu Mar 05 05:36:38 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","317","returns HTTP 403 for non-admin authenticated user","","Thu Mar 05 05:36:55 UTC 2026","passed","Thu Mar 05 05:36:55 UTC 2026","Product Endpoints > DELETE /api/products/:id","products_test.spec.ts","",""
"Verify multiple consecutive health checks return consistent status","217","testHealthEndpointConsistency","API Test Suite","Thu Mar 05 05:37:18 UTC 2026","passed","Thu Mar 05 05:37:18 UTC 2026","com.automationlab.tests.HealthTest","API Tests","com.automationlab.tests.HealthTest","testHealthEndpointConsistency"
"Verify registration succeeds without first name (optional field)","108","testRegistrationMissingFirstName","API Test Suite","Thu Mar 05 05:37:20 UTC 2026","passed","Thu Mar 05 05:37:21 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationMissingFirstName"
"","38290","GET /api/orders/:id","","Thu Mar 05 05:39:43 UTC 2026","passed","Thu Mar 05 05:40:22 UTC 2026","","k6 Performance Tests","",""
"","7","returns HTTP 401 for non-existent email","","Thu Mar 05 05:36:39 UTC 2026","passed","Thu Mar 05 05:36:39 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"","7","returns HTTP 400 when password is missing","","Thu Mar 05 05:36:39 UTC 2026","passed","Thu Mar 05 05:36:39 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","4","test_filter_by_category","tests","Thu Mar 05 05:37:09 UTC 2026","passed","Thu Mar 05 05:37:09 UTC 2026","TestFilterProducts","products_test","",""
"","4","test_list_users_excludes_passwords","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestListUsers","user_test","",""
"","78","returns correct user data for own user","","Thu Mar 05 05:36:56 UTC 2026","passed","Thu Mar 05 05:36:56 UTC 2026","User Endpoints > GET /api/users/:id","user_test.spec.ts","",""
"","254","admin can update a product and receives HTTP 200","","Thu Mar 05 05:36:52 UTC 2026","passed","Thu Mar 05 05:36:52 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"","3","test_user_cannot_delete_other_user","tests","Thu Mar 05 05:37:11 UTC 2026","passed","Thu Mar 05 05:37:11 UTC 2026","TestDeleteUser","user_test","",""
"","38188","DELETE /api/products/:id","","Thu Mar 05 05:39:03 UTC 2026","passed","Thu Mar 05 05:39:41 UTC 2026","","k6 Performance Tests","",""
"","5","test_product_fields_in_listing","tests","Thu Mar 05 05:37:09 UTC 2026","passed","Thu Mar 05 05:37:09 UTC 2026","TestListProducts","products_test","",""
"","72","returns HTTP 409 when updating email to one already in use","","Thu Mar 05 05:36:57 UTC 2026","passed","Thu Mar 05 05:36:57 UTC 2026","User Endpoints > PUT /api/users/:id","user_test.spec.ts","",""
"","7","returns HTTP 400 for invalid email format","","Thu Mar 05 05:36:39 UTC 2026","passed","Thu Mar 05 05:36:39 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","67","test_register_returns_user_details","tests","Thu Mar 05 05:37:04 UTC 2026","passed","Thu Mar 05 05:37:04 UTC 2026","TestRegistration","auth_test","",""
"Verify user cannot cancel another user's order","40","testCancelOtherUserOrder","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCancelOtherUserOrder"
"Create an order as admin, verify another user can't see it.","78","test_user_cannot_view_other_users_order","tests","Thu Mar 05 05:37:07 UTC 2026","passed","Thu Mar 05 05:37:07 UTC 2026","TestGetOrder","orders_test","",""
"","336","returns only the authenticated users own orders","","Thu Mar 05 05:36:43 UTC 2026","passed","Thu Mar 05 05:36:43 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"Verify registered user is active by default","242","testRegistrationDefaultActiveStatus","API Test Suite","Thu Mar 05 05:37:20 UTC 2026","passed","Thu Mar 05 05:37:20 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationDefaultActiveStatus"
"","79","returns HTTP 200 with authentication","","Thu Mar 05 05:36:49 UTC 2026","passed","Thu Mar 05 05:36:49 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"","11","test_status_update_changes_updated_at","tests","Thu Mar 05 05:37:08 UTC 2026","passed","Thu Mar 05 05:37:08 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"","328","response contains order with items array","","Thu Mar 05 05:36:44 UTC 2026","passed","Thu Mar 05 05:36:44 UTC 2026","Order Endpoints > GET /api/orders/:id","orders_test.spec.ts","",""
"","3","test_get_product_by_id","tests","Thu Mar 05 05:37:09 UTC 2026","passed","Thu Mar 05 05:37:09 UTC 2026","TestGetProduct","products_test","",""
"","75","returns correct user data for the token owner","","Thu Mar 05 05:36:39 UTC 2026","passed","Thu Mar 05 05:36:40 UTC 2026","Authentication Endpoints > GET /api/auth/me","auth_test.spec.ts","",""
"","10","limit parameter is respected","","Thu Mar 05 05:36:49 UTC 2026","passed","Thu Mar 05 05:36:49 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"","38287","DELETE /api/orders/:id","","Thu Mar 05 05:39:45 UTC 2026","passed","Thu Mar 05 05:40:23 UTC 2026","","k6 Performance Tests","",""
"Verify cancel order fails without authentication","13","testCancelOrderNoAuth","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCancelOrderNoAuth"
"","3","test_root_returns_200","tests","Thu Mar 05 05:37:05 UTC 2026","passed","Thu Mar 05 05:37:05 UTC 2026","TestRootEndpoint","health_test","",""
"Stock should decrease after order creation.","10","test_create_order_reduces_stock","tests","Thu Mar 05 05:37:06 UTC 2026","passed","Thu Mar 05 05:37:06 UTC 2026","TestCreateOrder","orders_test","",""
"Verify search is case-insensitive","28","testSearchProductsCaseInsensitive","API Test Suite","Thu Mar 05 05:37:26 UTC 2026","passed","Thu Mar 05 05:37:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testSearchProductsCaseInsensitive"
